Counter,Timestamp,Reading,RangeSetting,SecondaryReading,SecondaryRange,BatteryStatus
0,2022-09-26 12:14:25.0488,232.22300,"V,2,AC",25.19000,"TEMP",100%
1,2022-09-26 12:14:26.0492,232.26800,"V,2,AC",25.19000,"TEMP",100%
2,2022-09-26 12:14:27.0507,232.16900,"V,2,AC",25.19000,"TEMP",100%
3,2022-09-26 12:14:28.0521,232.06400,"V,2,AC",25.19000,"TEMP",100%
4,2022-09-26 12:14:29.0535,232.03600,"V,2,AC",25.19000,"TEMP",100%
5,2022-09-26 12:14:30.0536,232.06500,"V,2,AC",25.19000,"TEMP",100%
6,2022-09-26 12:14:31.0537,231.99000,"V,2,AC",25.19000,"TEMP",100%
7,2022-09-26 12:14:32.0552,232.13000,"V,2,AC",25.19000,"TEMP",100%
8,2022-09-26 12:14:33.0566,232.03500,"V,2,AC",25.19000,"TEMP",100%
9,2022-09-26 12:14:34.0580,232.02200,"V,2,AC",25.19000,"TEMP",100%
10,2022-09-26 12:14:35.0585,231.97400,"V,2,AC",25.19000,"TEMP",100%
11,2022-09-26 12:14:36.0600,232.08200,"V,2,AC",25.19000,"TEMP",100%
12,2022-09-26 12:14:37.0602,232.10100,"V,2,AC",25.19000,"TEMP",100%
13,2022-09-26 12:14:38.0617,232.00200,"V,2,AC",25.19000,"TEMP",100%
14,2022-09-26 12:14:39.0619,232.12400,"V,2,AC",25.19000,"TEMP",100%
15,2022-09-26 12:14:40.0633,232.14100,"V,2,AC",25.19000,"TEMP",100%
16,2022-09-26 12:14:41.0648,232.01400,"V,2,AC",25.19000,"TEMP",100%
17,2022-09-26 12:14:42.0649,232.11500,"V,2,AC",25.19000,"TEMP",100%
18,2022-09-26 12:14:43.0650,232.08500,"V,2,AC",25.19000,"TEMP",100%
19,2022-09-26 12:14:44.0665,232.09900,"V,2,AC",25.19000,"TEMP",100%
20,2022-09-26 12:14:45.0666,232.22500,"V,2,AC",25.19000,"TEMP",100%
